title,category,type,medium,frame,photo_url_link,artist,site,street_address,city,zip_code,state,latitude,longitude
9/11 MEMORIAL,SCULPTURE,RELIEF,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/9-11-01%20MEMORIAL.HTML,LEON KOMM AND SON MONUMENT COMPANY,HOUGHTON-STACHOWSKI PARK,CLINTON ST,BUFFALO,14206,NY,42.871691,-78.813918
MAYOR FRANK X SCHWAB,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,UNKNOWN,UNKNOWN,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
COMMODORE OLIVER HAZARD PERRY,SCULPTURE,FIGURATIVE,BRONZE AND PINK GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/PERRY.HTML,CHARLES H NIEHAUS,FRONT PARK,952 BUSTI AVE,BUFFALO,14213,NY,42.902176,-78.89826
SUBMARINE VETERANS OF WWII MEMORIAL,DECORATIVE OBJECTS,PLAQUE,BRONZE,False,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/SUB%20VETERANS%20WWII%20MEMORIAL.HTML,UNKNOWN,BUFFALO AND ERIE COUNTY NAVAL & MILITARY PARK,1 NAVAL PARK COVE,BUFFALO,14202,NY,42.878077,-78.880826
JOHN E MULROY PLAQUE,DECORATIVE OBJECTS,PLAQUE,BRONZE AND GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/JOHN%20E.%20MULROY%20PLAQUE.HTML,UNKNOWN,CAZENOVIA PARK,CAZENOVIA ST,BUFFALO,14220,NY,42.846737,-78.810073
MAYOR/COUNCIL MEMBERS,GRAPHIC ARTS,PORTRAIT,PAPER,True,UNKNOWN,UNKNOWN,COUNCIL CHAMBER CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAIN-JEFFERSON COMMUNITY WWII MEMORIAL,SCULPTURE,FIGURATIVE,GRANITE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/MAIN-JEFFERSON%20COMMUNITY%20WWII%20MEMORIAL.HTML,UNKNOWN,STREET CORNER SE,MAIN ST & JEFFERSON AVE,BUFFALO,14208,NY,42.924693,-78.854149
INDIAN HUNTER,SCULPTURE,FIGURATIVE,BRONZE,False,HTTP://WWW.CITY-BUFFALO.COM/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/INDIAN%20HUNTER.HTML,JOHN QUINCY ADAMS WARD,DELAWARE PARK,MEADOW DRIVE,BUFFALO,14209,NY,42.933414,-78.855218
MAYOR GROVER CLEVELAND,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/GROVER%20CLEVELAND.HTML,J C ROTHER,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
MAYOR STANLEY M MAKOWSKI,PAINTINGS,PORTRAIT,HAND COLORED PHOTOGRAPH,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/STANLEY%20MAKOWSKI.HTML,ETTORE WINTER,201 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
OPENING NIGHT,PAINTINGS,PORTRAIT,OIL ON CANVAS,True,HTTP://WWW.CI.BUFFALO.NY.US/FILES/1_2_1/PUBLIC%20ART%20WEBSITE/WEB%20PAGES/OPENING.HTML,ANITA L JOHNSON,1417 CITY HALL,65 NIAGARA SQUARE,BUFFALO,14202,NY,42.886641,-78.879354
